wiki_db	deployment	suggestions
astwiki	 20140211181300	0
bswiki	20140211181300	0
cawiki	20140211181300	0
dawiki	20140211181300	0
dewiki	20140211181300	0
elwiki	20140211181300	0
enwiki	NULL	1
eswiki	20140211181300	1
fawiki	20140211181300	0
frwiki	20140211181300	0
fowiki	20140211181300	0
glwiki	20140211181300	0
hewiki	20140211181300	0
huwiki	20140211181300	0
iswiki	20140211181300	0
itwiki	20140211181300	0
kowiki	20140211181300	0
lbwiki	20140211181300	0
mkwiki	20140211181300	0
mlwiki	20140211181300	0
nlwiki	20140211181300	0
plwiki	20140211181300	0
ptwiki	20140211181300	0
ruwiki	20140211181300	0
simplewiki	20140211181300	0
svwiki	20140211181300	0
viwiki	20140211181300	0
ukwiki	20140211181300	1
zhwiki	20140211181300	1
jawiki	20140227001800	0
